dataset,run_id,query_id,latency_s,effective_latency_s,cache_retry_overhead_s,planner_avg_latency_s,hit_minus_planner_avg_s,speedup_x,cache_lookup_latency_s,cache_grounding_latency_s,cache_validation_latency_s,typed_exec_latency_s,planner_avg_guardrail_latency_s,planner_avg_agent_latency_s,planner_avg_typed_exec_latency_s,execution_path,plan_source
mit_ecg,1,5,6.97259783744812,6.97259783744812,0.0,4.585114161173503,2.387483676274617,0.6575905090277794,0.0002343329997529,3.0400982499995735,0.0013240409989521,3.925104582998756,3.8755903244018555,0.0,0.7084829807281494,typed_operator_cache,exact_query_cache_light_grounded
bus,1,3,4.480875015258789,4.480875015258789,0.0,2.273836930592855,2.207038084665934,0.5074537724997293,0.0004305839993321,4.47445929100104,0.0003042919997824,0.0013317079992702,2.2720086574554443,0.0,0.0014235973358153666,typed_operator_cache,exact_query_cache_light_grounded
wisdm,3,15,5.93630313873291,5.93630313873291,0.0,3.9045989513397217,2.0317041873931885,0.6577492523694046,0.04900862499926,3.107093749998967,0.0008338329989783,1.2759690000002593,2.6064517498016357,0.0,1.2974902788798015,typed_operator_cache,semantic_cache_light_grounded
wisdm,3,7,5.589092969894409,5.589092969894409,0.0,3.5894595781962075,1.9996333916982016,0.6422257775153847,0.0464120839988027,4.059053167000457,0.0010304170009476,0.0172916249994159,3.570947249730428,0.0,0.017760753631591766,typed_operator_cache,semantic_cache_light_grounded
mit_ecg,2,7,6.206053018569946,6.206053018569946,0.0,4.519365469614665,1.6866875489552813,0.7282189591503131,0.0002201249990321,2.4845295409995742,0.0023992910009837,3.7145902499996737,3.78263791402181,0.0,0.7359983126322428,typed_operator_cache,exact_query_cache_light_grounded
mit_ecg,1,7,6.1669182777404785,6.1669182777404785,0.0,4.519365469614665,1.6475528081258135,0.732840174958591,0.0002639169997564,2.1084275000011985,0.0019414580001466,4.047871417000351,3.78263791402181,0.0,0.7359983126322428,typed_operator_cache,exact_query_cache_light_grounded
mit_ecg,3,15,5.973395824432373,5.973395824432373,0.0,4.434800783793132,1.5385950406392412,0.7424253999130473,0.0211822500004927,5.725709874999666,0.0008789170005911,0.2227962910001224,4.1102010409037275,0.0,0.32388639450073237,typed_operator_cache,semantic_cache_light_grounded
wisdm,1,3,4.026124000549316,4.026124000549316,0.0,2.9001845518747964,1.12593944867452,0.7203415869653048,0.0002315410001756,4.017772749999494,0.0005642079995595,0.0047190000004775,2.8933878739674888,0.0,0.006182750066121367,typed_operator_cache,exact_query_cache_light_grounded
mit_ecg,3,5,5.458116054534912,5.458116054534912,0.0,4.585114161173503,0.8730018933614092,0.84005435490217,0.0002254579994769,1.724298582999836,0.0008744570004637,3.729539833999297,3.8755903244018555,0.0,0.7084829807281494,typed_operator_cache,exact_query_cache_light_grounded
wisdm,2,1,2.999006986618042,2.999006986618042,0.0,2.2779057025909424,0.7211012840270996,0.7595533163994792,0.0071509999997942,1.3068487090004055,0.0009371260002808,0.0033921659996849,2.2727996508280435,0.0,0.0031423568725585335,typed_operator_cache,semantic_cache_light_grounded
mit_ecg,1,3,3.5760719776153564,3.5760719776153564,0.0,2.9949320952097573,0.5811398824055991,0.8374921181555405,0.0002541249996284,3.5291639999995823,0.0008695010001247,0.0373285410005337,2.952287276585897,0.0,0.0419980684916178,typed_operator_cache,exact_query_cache_light_grounded
mit_ecg,1,8,3.258492946624756,3.258492946624756,0.0,2.689380327860514,0.5691126187642417,0.82534483637482,0.0002642919989739,3.223887707999893,0.0008359179992112,0.0285055829990596,2.6494723161061606,0.0,0.03918337821960444,typed_operator_cache,exact_query_cache_light_grounded
wisdm,2,2,3.3987841606140137,3.3987841606140137,0.0,2.8516789277394614,0.5471052328745523,0.8390291330604195,0.0423644999991665,3.193762000000788,0.0007513329983339,0.1592514580006536,2.6665333906809487,0.0,0.18463198343912757,typed_operator_cache,semantic_cache_light_grounded
wisdm,3,1,2.745365858078003,2.745365858078003,0.0,2.2779057025909424,0.46746015548706055,0.8297275555782122,0.0067080839999107,2.730234083999676,0.0009572500002832,0.0041587919986341,2.2727996508280435,0.0,0.0031423568725585335,typed_operator_cache,semantic_cache_light_grounded
mit_ecg,3,8,2.8788278102874756,2.8788278102874756,0.0,2.689380327860514,0.1894474824269614,0.934192839964248,0.017474582999057,2.823269541000627,0.002127041998392,0.0343955410007765,2.6494723161061606,0.0,0.03918337821960444,typed_operator_cache,semantic_cache_light_grounded
wisdm,2,8,3.930763959884643,3.930763959884643,0.0,3.7414070765177407,0.18935688336690237,0.9518269513765311,0.0002492500007065,3.8839386250001553,0.0006232490013644,0.0427395839997188,3.5802599589029946,0.0,0.16048622131347653,typed_operator_cache,exact_query_cache_light_grounded
wisdm,1,16,11.91135597229004,11.91135597229004,0.0,11.746395826339722,0.16496014595031916,0.986151018714068,0.0004030000000057,1.8982086250016437,0.0004972499991708,8.328018666999924,2.60959521929423,0.0,9.1362673441569,typed_operator_cache,exact_query_cache_light_grounded
mit_ecg,1,2,3.234511137008667,3.234511137008667,0.0,3.194982926050822,0.0395282109578452,0.987779231765329,0.0005161660010344,3.1795354999994743,0.0024923330020101,0.0345162499997968,3.1607213020324707,0.0,0.033504327138264935,typed_operator_cache,exact_query_cache_light_grounded
